MemberID,SSN,FirstName,LastName,Gender,DOB,Address,City,State,Zip,Phone,Email,EnrollmentStart,EnrollmentEnd,Relationship,MemberSeq,CoverageType,CoverageStatus,GroupID,GroupName,GroupAddress,GroupCity,GroupState,GroupZip,GroupStatus,PlanID,PlanName,PlanType,PlanEffectiveDate,PlanTerminationDate,PCPName,PCPNPI,SubscriberID,MaritalStatus,EmploymentStatus,Language,Ethnicity,MedicareID,MedicaidID,OtherInsurance,DisabilityStatus
200001,315-22-6789,Mason,Johnson,M,1984-06-17,742 Evergreen Ter,Springfield,IL,62704,2175550100,mason.johnson@email.com,2024-01-01,2024-12-31,Subscriber,01,Medical,Active,G2001,Springfield Tools,300 Tool Rd,Springfield,IL,62704,Active,PL3001,Spring PPO,PPO,2024-01-01,2024-12-31,Dr. Angela Carter,1987654321,200001,Married,Employed,English,White,373839201A,IL3027819,N,N
200002,214-33-5678,Olivia,Johnson,F,1987-09-23,742 Evergreen Ter,Springfield,IL,62704,2175550100,olivia.johnson@email.com,2024-01-01,2024-12-31,Spouse,02,Medical,Active,G2001,Springfield Tools,300 Tool Rd,Springfield,IL,62704,Active,PL3001,Spring PPO,PPO,2024-01-01,2024-12-31,Dr. Angela Carter,1987654321,200001,Married,Employed,English,White,384920112B,IL3027819,N,N
200003,431-29-8501,Lucas,Johnson,M,2013-03-10,742 Evergreen Ter,Springfield,IL,62704,2175550100,,2024-01-01,2024-12-31,Child,03,Medical,Active,G2001,Springfield Tools,300 Tool Rd,Springfield,IL,62704,Active,PL3001,Spring PPO,PPO,2024-01-01,2024-12-31,Dr. Angela Carter,1987654321,200001,Single,Student,English,White,,,N,N
200004,529-48-1920,Emma,Lee,F,1995-11-04,18 Main St,Portland,OR,97205,5035551234,emma.lee@email.com,2023-05-15,2024-05-14,Subscriber,01,Medical,Active,G2002,Portland Designs,10 Design Ave,Portland,OR,97205,Active,PL3002,Portland HMO,HMO,2023-05-15,2024-05-14,Dr. Kevin Brown,2198765432,200004,Single,Employed,English,Asian,492018273C,OR4920182,N,N
200005,337-44-2189,James,Lee,M,1993-10-22,18 Main St,Portland,OR,97205,5035551234,james.lee@email.com,2023-05-15,2024-05-14,Spouse,02,Medical,Active,G2002,Portland Designs,10 Design Ave,Portland,OR,97205,Active,PL3002,Portland HMO,HMO,2023-05-15,2024-05-14,Dr. Kevin Brown,2198765432,200004,Married,Employed,English,Asian,492018273D,OR4920182,N,N
200006,613-22-9541,William,Nguyen,M,1989-02-04,400 Ocean Dr,Miami,FL,33139,3055555690,will.nguyen@email.com,2022-11-01,2023-10-31,Subscriber,01,Medical,Termed,G2003,Miami Realty,500 Ocean Dr,Miami,FL,33139,Termed,PL3003,Miami Choice POS,POS,2022-11-01,2023-10-31,Dr. Linda Cruz,3098765432,200006,Single,Employed,English,Asian,559430921E,FL3017451,N,N
200007,294-81-3245,Sophia,Martin,F,1977-01-19,88 River Rd,Columbus,OH,43215,6145552345,sophia.martin@email.com,2023-10-01,2024-09-30,Subscriber,01,Medical,Active,G2004,Columbus Electric,45 Power St,Columbus,OH,43215,Active,PL3004,Columbus Bronze EPO,EPO,2023-10-01,2024-09-30,Dr. Eric Foster,4187654321,200007,Divorced,Employed,English,Black,510238746F,OH5102387,N,N
200008,428-55-3912,Ethan,Martin,M,2010-07-15,88 River Rd,Columbus,OH,43215,6145552345,,2023-10-01,2024-09-30,Child,03,Medical,Active,G2004,Columbus Electric,45 Power St,Columbus,OH,43215,Active,PL3004,Columbus Bronze EPO,EPO,2023-10-01,2024-09-30,Dr. Eric Foster,4187654321,200007,Single,Student,English,Black,,,N,N
200009,310-24-9128,Isabella,White,F,1982-12-11,120 Oak St,Phoenix,AZ,85004,6025556789,isabella.white@email.com,2024-03-01,2025-02-28,Subscriber,01,Medical,Active,G2005,Phoenix Health,800 Health Ave,Phoenix,AZ,85004,Active,PL3005,Phoenix Platinum PPO,PPO,2024-03-01,2025-02-28,Dr. Henry Miles,5678901234,200009,Married,Employed,Spanish,Hispanic,739120843G,AZ7391208,N,N
200010,219-53-7841,Matthew,White,M,1980-08-09,120 Oak St,Phoenix,AZ,85004,6025556789,matthew.white@email.com,2024-03-01,2025-02-28,Spouse,02,Medical,Active,G2005,Phoenix Health,800 Health Ave,Phoenix,AZ,85004,Active,PL3005,Phoenix Platinum PPO,PPO,2024-03-01,2025-02-28,Dr. Henry Miles,5678901234,200009,Married,Employed,Spanish,Hispanic,739120843H,AZ7391208,N,N
e,Ethnicity,MedicareID,MedicaidID,OtherInsurance,DisabilityStatus
300001,123-45-6789,Ava,Thomas,F,1988-04-12,100 Sunrise Blvd,Austin,TX,78701,5125551234,ava.thomas@email.com,2024-01-01,2024-12-31,Subscriber,01,Medical,Active,G3001,Capital Tech,900 Innovation Dr,Austin,TX,78701,Active,PL4001,Capital Platinum PPO,PPO,2024-01-01,2024-12-31,Dr. Ben Ortiz,2109876543,300001,Married,Employed,English,Hispanic,112233445A,TX1122334,N,N
300002,987-65-4321,Noah,Thomas,M,1987-02-28,100 Sunrise Blvd,Austin,TX,78701,5125551234,noah.thomas@email.com,2024-01-01,2024-12-31,Spouse,02,Medical,Active,G3001,Capital Tech,900 Innovation Dr,Austin,TX,78701,Active,PL4001,Capital Platinum PPO,PPO,2024-01-01,2024-12-31,Dr. Ben Ortiz,2109876543,300001,Married,Employed,English,Hispanic,223344556B,TX1122334,N,N
300003,456-78-9012,Logan,Thomas,M,2015-07-25,100 Sunrise Blvd,Austin,TX,78701,5125551234,,2024-01-01,2024-12-31,Child,03,Medical,Active,G3001,Capital Tech,900 Innovation Dr,Austin,TX,78701,Active,PL4001,Capital Platinum PPO,PPO,2024-01-01,2024-12-31,Dr. Ben Ortiz,2109876543,300001,Single,Student,English,Hispanic,,,N,N
300004,321-54-9876,Charlotte,Baker,F,1990-10-15,222 Willow Way,San Jose,CA,95110,4085557890,charlotte.baker@email.com,2023-09-01,2024-08-31,Subscriber,01,Medical,Active,G3002,Silicon Solutions,300 Circuit Ln,San Jose,CA,95110,Active,PL4002,Silicon Silver HMO,HMO,2023-09-01,2024-08-31,Dr. Carla Lin,3098765412,300004,Single,Employed,English,Asian,334455667C,CA3344556,N,N
300005,654-32-1987,Henry,Baker,M,2017-12-03,222 Willow Way,San Jose,CA,95110,4085557890,,2023-09-01,2024-08-31,Child,03,Medical,Active,G3002,Silicon Solutions,300 Circuit Ln,San Jose,CA,95110,Active,PL4002,Silicon Silver HMO,HMO,2023-09-01,2024-08-31,Dr. Carla Lin,3098765412,300004,Single,Student,English,Asian,,,N,N
300006,789-12-3456,Lucas,Nguyen,M,1976-11-22,77 Lakeview Dr,Orlando,FL,32801,4075554321,lucas.nguyen@email.com,2022-06-01,2023-05-31,Subscriber,01,Medical,Termed,G3003,Sunshine Foods,500 Citrus Ave,Orlando,FL,32801,Termed,PL4003,Sunshine Bronze EPO,EPO,2022-06-01,2023-05-31,Dr. Maria Gomez,4198765432,300006,Married,Employed,Vietnamese,Asian,445566778D,FL4455667,N,N
300007,345-67-8901,Mia,Nguyen,F,1979-08-10,77 Lakeview Dr,Orlando,FL,32801,4075554321,mia.nguyen@email.com,2022-06-01,2023-05-31,Spouse,02,Medical,Termed,G3003,Sunshine Foods,500 Citrus Ave,Orlando,FL,32801,Termed,PL4003,Sunshine Bronze EPO,EPO,2022-06-01,2023-05-31,Dr. Maria Gomez,4198765432,300006,Married,Employed,Vietnamese,Asian,556677889E,FL4455667,N,N
300008,852-14-9637,Elijah,Reed,M,1982-03-05,789 Mountain Rd,Denver,CO,80203,7205555678,elijah.reed@email.com,2024-02-01,2025-01-31,Subscriber,01,Medical,Active,G3004,Rocky Mining,600 Peak St,Denver,CO,80203,Active,PL4004,Rocky Standard HSA,HSA,2024-02-01,2025-01-31,Dr. Jason Black,5890172345,300008,Divorced,Employed,English,White,667788990F,CO6677889,N,N
300009,963-25-7410,Ella,Reed,F,2012-06-18,789 Mountain Rd,Denver,CO,80203,7205555678,,2024-02-01,2025-01-31,Child,03,Medical,Active,G3004,Rocky Mining,600 Peak St,Denver,CO,80203,Active,PL4004,Rocky Standard HSA,HSA,2024-02-01,2025-01-31,Dr. Jason Black,5890172345,300008,Single,Student,English,White,,,N,N
300010,741-85-2369,Jack,Mitchell,M,1974-05-30,88 Ocean Ave,San Diego,CA,92101,6195552468,jack.mitchell@email.com,2024-03-01,2025-02-28,Subscriber,01,Medical,Active,G3005,Pacific Freight,1100 Bay Dr,San Diego,CA,92101,Active,PL4005,Pacific Gold PPO,PPO,2024-03-01,2025-02-28,Dr. Hannah Lee,6789012345,300010,Married,Employed,English,Black,778899001G,CA7788990,N,N
